Sample_ID,Genotype,Site ,Type,T6_SA,T12_SA,T3_Break,T3_Dead,T12_Dead,T12_TOD,CumulativeBreaks,T12_Status,Timepoint,Timepoints,Perm_2
BH-0.2-1,BH,BH,BH_SW,,,,,,,,,T666,12,111
BH-0.2-2,BH,BH,BH_SW,,,,,,,,,T666,12,111
BP-0.2-1,BP  ,BP,BP_SW,,,,,,,,,T666,12,111
BP-0.2-2,BP  ,BP,BP_SW,,,,,,,,,T666,12,111
EDR-0.2-1,EDR  ,EDR,EDR_SW,,,,,,,,,T666,12,111
EDR-0.2-2,EDR  ,EDR,EDR_SW,,,,,,,,,T666,12,111
ES-0.2-1,ES  ,ES,ES_SW,,,,,,,,,T666,12,111
ES-0.2-2,ES  ,ES,ES_SW,,,,,,,,,T666,12,111
G13r1,13,LK,Coral,,0,1,,,,M,,T12,12,111
G13r11,13,ES,Coral,15.233,47.755,1,0,0,13,1,A,T12,12,111
G13r12,13,ES,Coral,99.82,41.803,0,0,0,13,1,A,T12,12,111
G13r13,13,ES,Coral,54.783,157.606,0,0,0,13,0,A,T12,12,111
G13r21,13,DL,Coral,59.476,111.514,0,0,0,13,1,A,T12,12,111
G13r22,13,MS,Coral,30.214,83.544,0,0,0,13,0,A,T12,12,111
G13r25,13,MR32,Coral,32.116,60.983,1,0,0,13,1,A,T12,12,111
G13r3,13,LK,Coral,9.875,6.023,0,0,0,13,1,A,T12,12,111
G13r99,13,MS,Coral,,,,,,,,,T12,12,111
G1r1,1,LK,Coral,67.379,93.06,0,0,0,13,0,A,T12,12,111
G1r10,1,BP,Coral,57.735,145.857,1,0,0,13,1,A,T12,12,111
G1r11,1,ES,Coral,146.715,376.313,0,0,0,13,0,A,T12,12,111
G1r13,1,ES,Coral,98.512,207.44,0,0,0,13,0,A,T12,12,111
G1r21,1,MS,Coral,29.352,39.627,0,0,0,13,0,A,T12,12,111
G1r22,1,MS,Coral,20.852,55.725,1,0,0,13,1,A,T12,12,111
G1r23,1,MS,Coral,34.901,2,0,0,0,13,1,A,T12,12,111
G1r26,1,MR32,Coral,85.619,141.21,0,0,0,13,0,A,T12,12,111
G1r28,1,EDR,Coral,114.974,399.927,0,0,0,13,0,A,T12,12,111
G1r3,1,LK,Coral,19.122,22.894,0,0,0,13,1,A,T12,12,111
G1r4,1,BH,Coral,18.48,56.62,0,0,0,13,1,A,T12,12,111
G1r7,1,BH,Coral,33.794,93.595,0,0,0,13,1,A,T12,12,111
